date,1. open,2. high,3. low,4. close,5. volume
2024-06-03 04:00:00,192.45,193.14,192.45,193.05,26584.0
2024-06-03 04:05:00,193.1,193.31,192.9,192.9,14845.0
2024-06-03 04:10:00,192.91,192.95,192.79,192.95,11909.0
2024-06-03 04:15:00,192.91,192.96,192.84,192.9,2229.0
2024-06-03 04:20:00,192.85,192.91,192.84,192.91,1499.0
2024-06-03 04:25:00,192.89,192.93,192.85,192.85,1408.0
2024-06-03 04:30:00,192.85,192.94,192.85,192.89,1855.0
2024-06-03 04:35:00,192.89,193.19,192.89,193.1,11163.0
2024-06-03 04:40:00,193.12,193.12,192.9,193.0,3098.0
2024-06-03 04:45:00,192.99,193.08,192.92,193.02,2936.0
2024-06-03 04:50:00,193.04,193.15,193.0,193.12,3649.0
2024-06-03 04:55:00,193.14,193.15,193.02,193.11,3817.0
2024-06-03 05:00:00,193.1,193.1,192.96,193.03,5013.0
2024-06-03 05:05:00,193.0,193.11,192.94,193.1,1907.0
2024-06-03 05:10:00,193.1,193.1,192.98,193.03,2378.0
2024-06-03 05:15:00,193.0,193.08,192.96,193.0,8175.0
2024-06-03 05:20:00,193.01,193.02,192.95,193.0,4287.0
2024-06-03 05:25:00,192.97,193.02,192.96,192.97,4638.0
2024-06-03 05:30:00,192.98,193.08,192.98,193.02,4601.0
2024-06-03 05:35:00,193.04,193.07,192.96,193.0,3403.0
2024-06-03 05:40:00,193.0,193.08,192.99,193.03,3352.0
2024-06-03 05:45:00,193.03,193.04,192.86,192.92,5238.0
2024-06-03 05:50:00,192.91,193.04,192.91,193.0,1720.0
2024-06-03 05:55:00,193.01,193.01,192.93,192.99,1616.0
2024-06-03 06:00:00,193.0,193.04,192.97,193.0,1643.0
2024-06-03 06:05:00,193.0,193.03,192.97,193.01,1712.0
2024-06-03 06:10:00,193.0,193.05,192.98,193.0,933.0
2024-06-03 06:15:00,193.01,193.09,193.0,193.08,1875.0
2024-06-03 06:20:00,193.05,193.08,193.0,193.05,1668.0
2024-06-03 06:25:00,193.05,193.07,193.0,193.05,618.0
2024-06-03 06:30:00,193.01,193.07,193.01,193.06,900.0
2024-06-03 06:35:00,193.06,193.08,193.04,193.07,492.0
2024-06-03 06:40:00,193.07,193.07,193.01,193.05,1343.0
2024-06-03 06:45:00,193.04,193.05,192.92,192.92,6929.0
2024-06-03 06:50:00,192.92,192.92,192.77,192.86,7714.0
2024-06-03 06:55:00,192.85,192.95,192.85,192.89,494.0
2024-06-03 07:00:00,192.86,192.92,192.71,192.89,11947.0
2024-06-03 07:05:00,192.9,193.0,192.9,192.94,7338.0
2024-06-03 07:10:00,192.94,192.97,192.88,192.92,9121.0
2024-06-03 07:15:00,192.92,192.95,192.83,192.9,8212.0
2024-06-03 07:20:00,192.9,192.94,192.81,192.81,1835.0
2024-06-03 07:25:00,192.83,192.85,192.7,192.85,2772.0
2024-06-03 07:30:00,192.85,193.0,192.61,192.78,12304.0
2024-06-03 07:35:00,192.79,192.81,192.74,192.79,597.0
2024-06-03 07:40:00,192.78,192.86,192.75,192.81,1351.0
2024-06-03 07:45:00,192.85,193.1,192.82,192.99,10390.0
2024-06-03 07:50:00,192.95,193.0,192.91,192.97,1853.0
2024-06-03 07:55:00,192.94,192.98,192.9,192.98,2486.0
2024-06-03 08:00:00,192.81,193.54,191.77,192.94,80920.0
2024-06-03 08:05:00,193.15,193.53,192.25,192.885,17376.0
2024-06-03 08:10:00,192.887,192.93,192.8,192.91,5102.0
2024-06-03 08:15:00,192.93,193.0,192.85,192.9,9994.0
2024-06-03 08:20:00,192.858,192.93,192.85,192.905,8069.0
2024-06-03 08:25:00,192.89,193.05,192.89,193.05,20065.0
2024-06-03 08:30:00,192.99,192.99,192.88,192.88,12297.0
2024-06-03 08:35:00,192.89,193.0,192.88,192.88,11506.0
2024-06-03 08:40:00,192.9,192.91,192.25,192.895,5332.0
2024-06-03 08:45:00,192.88,192.97,192.88,192.9,19482.0
2024-06-03 08:50:00,192.92,192.97,192.88,192.89,15759.0
2024-06-03 08:55:00,192.885,192.94,192.81,192.82,29874.0
2024-06-03 09:00:00,192.8,192.88,192.7,192.8,11441.0
2024-06-03 09:05:00,192.92,192.92,192.7,192.84,6164.0
2024-06-03 09:10:00,192.83,192.95,192.81,192.86,5573.0
2024-06-03 09:15:00,192.87,192.92,192.75,192.88,24515.0
2024-06-03 09:20:00,192.885,192.99,191.305,192.96,14959.0
2024-06-03 09:25:00,192.98,193.12,192.48,193.01,87403.0
2024-06-03 09:30:00,192.9,193.39,192.52,193.13,2933850.0
2024-06-03 09:35:00,193.14,193.745,192.64,193.34,1389142.0
2024-06-03 09:40:00,193.34,193.9,193.1,193.87,945787.0
2024-06-03 09:45:00,193.88,194.39,193.77,194.33,1597501.0
2024-06-03 09:50:00,194.33,194.56,193.0,194.08,1452599.0
2024-06-03 09:55:00,194.1,194.42,193.71,194.11,865227.0
2024-06-03 10:00:00,194.13,194.57,194.02,194.415,1013277.0
2024-06-03 10:05:00,194.412,194.56,194.16,194.245,736724.0
